run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
61,1,l,0.008347873314928882,0.019609989369847255,0.012794596787964322,0.011710602402788626,0.005889787682286362,0.008347873314928882,0.004581410011871783
61,1,l2,0.14188670385856736,0.24451280818311588,0.18626088264663745,0.17957122264979408,0.09864226762618848,0.14188670385856736,0.012871671373030219
61,1,fg,0.009400568009191037,0.024948535885343626,0.015314385665769158,0.013655692971788551,0.006874786472552165,0.009400568009191037,0.005159141109337297
61,1,fg2,0.14217471399652107,0.24193528495811936,0.1854644978010278,0.1791001538007314,0.09835804762934323,0.14217471399652107,0.01575340735007605
61,1,eb,0,NaN,NaN,0,0,0,0
61,1,eb2,0.3470173493307643,1,0.5890817849252888,0.5152381288974076,0.3470173493307643,0.3470173493307643,1.9442675685940317e-9
61,1,im,0,NaN,NaN,0,0,0,0
61,1,im2,0,NaN,NaN,0,0,0,0
61,1,lp,0,NaN,NaN,0,0,0,0
61,1,lp2,0,NaN,NaN,0,0,0,0
61,1,le,0.00969475799463062,0.022358039612257147,0.014722628273348413,0.013524921345937043,0.006808502906112902,0.00969475799463062,0.005320595996568873
61,1,le2,0.17757885633999043,0.3376671025936875,0.24487249315148737,0.23275306428921874,0.131703758872614,0.17757885633999043,0.003972576081660732
61,1,sl,0.012266110214470287,0.03166230040145935,0.01970718819030171,0.017682099621748323,0.008919911190013646,0.012266110214470287,0.006731784015313087
61,1,sl2,0.013533435429924115,0.03234017570362306,0.020920651989777553,0.019081719047721296,0.009632764375594646,0.013533435429924115,0.007427306840269517
60,1,wt,0.34635775448909606,1,0.5885216686657307,0.5145107284215538,0.34635775448909606,0.34635775448909606,1.940571992964915e-9
60,1,wt2,0,NaN,NaN,0,0,0,0
60,1,l,0,NaN,NaN,0,0,0,0
60,1,l2,0.11827422936833662,0.20321976943871153,0.1550343885167889,0.14952479182791958,0.08080345587316558,0.11827422936833662,0.010729596015178023
60,1,fg,0.00442206199315497,0.01409535512012302,0.007894968914233818,0.006732098086403633,0.00337741759647091,0.00442206199315497,0.0024268790773725904
60,1,fg2,0.12752556197655684,0.2133371924570549,0.16494224855562867,0.15962990972007512,0.08673793959333202,0.12752556197655684,0.01413023503893405
60,1,eb,0,NaN,NaN,0,0,0,0
60,1,eb2,0.3469880603585897,0.9843137616772712,0.5844186196115448,0.5130994599351841,0.3450798799984413,0.3469880603585897,4.326681838248677e-9
60,1,im,0,NaN,NaN,0,0,0,0
60,1,im2,0,NaN,NaN,0,0,0,0
60,1,lp,0,NaN,NaN,0,0,0,0
