run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
1,0.8,l2,0.8813386428941824,0.9612343225085245,0.9204199874529951,0.919554307167224,0.8510879475638267,0.8813386428941824,0.5907789596778162
1,0.8,fg,0.491920216287727,0.7471062764223725,0.6062315408221612,0.5932345809390233,0.4217011400059936,0.491920216287727,0.3297439820278508
1,0.8,fg2,0.8813386428941824,0.9612343225085245,0.9204199874529951,0.919554307167224,0.8510879475638267,0.8813386428941824,0.5907789596778162
1,0.8,eb,0,NaN,NaN,0,0,0,0
1,0.8,eb2,0.3503178385919137,0.9479249960089939,0.5762595211787126,0.5115761503142857,0.34370327405215034,0.3503178385919137,1.4502940335499574e-8
1,0.8,im,0,NaN,NaN,0,0,0,0
1,0.8,im2,0,NaN,NaN,0,0,0,0
1,0.8,lp,0,NaN,NaN,0,0,0,0
1,0.8,lp2,0.3483955229368453,1,0.5902503900353182,0.5167556803778606,0.3483955229368453,0.3483955229368453,1.9519891947644903e-9
1,0.8,le,0.46969430586195254,0.6971611517097637,0.5722347623364354,0.5612565311348535,0.3901018793694765,0.46969430586195254,0.31484550872806166
1,0.8,le2,0.6243273437773144,0.8589976875306929,0.7323221590030531,0.7230994330271409,0.5662926712777554,0.6243273437773144,0.15395722748121335
1,0.8,sl,0.7941010739807893,0.9687240524016596,0.8770774255464453,0.8727636098332837,0.7742507405249784,0.7941010739807893,0.6501549703203258
1,0.8,sl2,0.7747376958146664,0.9389373167881667,0.8528951479067459,0.8489709285286304,0.7375755743887373,0.7747376958146664,0.6343015771322422
