run,alpha,method,accuracies,c_count
52,1,sl2,0.36,3
51,1,wt,0.3,2
51,1,wt2,0.26,1
51,1,l,0.26,3
51,1,l2,0.38,7
51,1,fg,0.3,3
51,1,fg2,0.42,7
51,1,eb,0.26,1
51,1,eb2,0.96,48
51,1,im,0.26,1
51,1,im2,0.26,1
51,1,lp,0.26,1
51,1,lp2,1,50
51,1,sl,0.32,3
51,1,sl2,0.3,3
50,1,wt,0.3,2
50,1,wt2,0.3,1
50,1,l,0.3,2
50,1,l2,0.36,6
50,1,fg,0.3,2
50,1,fg2,0.4,6
50,1,eb,0.3,1
50,1,eb2,1,50
50,1,im,0.3,1
50,1,im2,0.3,1
50,1,lp,0.3,1
50,1,lp2,1,50
50,1,sl,0.3,3
50,1,sl2,0.32,3
49,1,wt,0.32,2
49,1,wt2,0.26,1
49,1,l,0.3,3
49,1,l2,0.4,6
49,1,fg,0.28,2
49,1,fg2,0.38,7
49,1,eb,0.26,1
49,1,eb2,0.88,42
49,1,im,0.26,1
49,1,im2,0.26,1
49,1,lp,0.26,1
49,1,lp2,1,50
49,1,sl,0.34,3
49,1,sl2,0.36,3
48,1,wt,0.3,2
48,1,wt2,0.26,1
48,1,l,0.34,3
48,1,l2,0.38,7
48,1,fg,0.3,2
48,1,fg2,0.38,8
48,1,eb,0.26,1
48,1,eb2,0.98,47
48,1,im,0.26,1
48,1,im2,0.26,1
48,1,lp,0.26,1
48,1,lp2,1,50
48,1,sl,0.3,3
48,1,sl2,0.32,3
47,1,wt,0.34,2
47,1,wt2,0.26,1
47,1,l,0.32,3
47,1,l2,0.4,7
47,1,fg,0.3,2
47,1,fg2,0.42,6
47,1,eb,0.26,1
47,1,eb2,0.9,43
47,1,im,0.26,1
47,1,im2,0.26,1
47,1,lp,0.26,1
47,1,lp2,1,50
47,1,sl,0.3,3
47,1,sl2,0.3,3
46,1,wt,0.32,3
46,1,wt2,0.22,1
46,1,l,0.36,3
46,1,l2,0.38,7
46,1,fg,0.3,2
46,1,fg2,0.38,6
46,1,eb,0.22,1
46,1,eb2,0.94,45
46,1,im,0.22,1
46,1,im2,0.22,1
46,1,lp,0.22,1
46,1,lp2,1,50
46,1,sl,0.34,3
46,1,sl2,0.32,3
45,1,wt,0.28,2
45,1,wt2,0.28,1
45,1,l,0.38,3
45,1,l2,0.34,6
45,1,fg,0.28,2
45,1,fg2,0.44,8
45,1,eb,0.28,1
45,1,eb2,0.88,43
45,1,im,0.28,1
45,1,im2,0.28,1
45,1,lp,0.28,1
45,1,lp2,1,50
45,1,sl,0.36,3
45,1,sl2,0.32,3
44,1,wt,0.28,2
44,1,wt2,0.24,1
44,1,l,0.26,3
44,1,l2,0.34,7
44,1,fg,0.28,3
44,1,fg2,0.4,9
44,1,eb,0.24,1
44,1,eb2,0.94,46
44,1,im,0.24,1
44,1,im2,0.24,1
44,1,lp,0.24,1
44,1,lp2,1,50
44,1,sl,0.26,3
