run,alpha,method,accuracies
940,0.8,wt2,0.32
940,0.8,l,0.62
940,0.8,l2,0.64
940,0.8,fg,0.42
940,0.8,fg2,0.66
940,0.8,eb,0.32
940,0.8,eb2,1
940,0.8,im,0.32
940,0.8,im2,0.32
940,0.8,lp,0.32
940,0.8,lp2,1
940,0.8,sl,0.5
940,0.8,sl2,0.62
939,0.8,wt,0.36
939,0.8,wt2,0.24
939,0.8,l,0.34
939,0.8,l2,0.68
939,0.8,fg,0.44
939,0.8,fg2,0.5
939,0.8,eb,0.24
939,0.8,eb2,0.92
939,0.8,im,0.24
939,0.8,im2,0.24
939,0.8,lp,0.24
939,0.8,lp2,1
939,0.8,sl,0.34
939,0.8,sl2,0.34
938,0.8,wt,0.36
938,0.8,wt2,0.22
938,0.8,l,0.6
938,0.8,l2,0.72
938,0.8,fg,0.56
938,0.8,fg2,0.66
938,0.8,eb,0.22
938,0.8,eb2,0.9
938,0.8,im,0.22
938,0.8,im2,0.22
938,0.8,lp,0.22
938,0.8,lp2,1
938,0.8,sl,0.56
938,0.8,sl2,0.56
937,0.8,wt,0.66
937,0.8,wt2,0.32
937,0.8,l,0.7
937,0.8,l2,0.78
937,0.8,fg,0.5
937,0.8,fg2,0.7
937,0.8,eb,0.32
937,0.8,eb2,0.94
937,0.8,im,0.32
937,0.8,im2,0.32
937,0.8,lp,0.32
937,0.8,lp2,1
937,0.8,sl,0.52
937,0.8,sl2,0.52
936,0.8,wt,0.44
936,0.8,wt2,0.32
936,0.8,l,0.56
936,0.8,l2,0.64
936,0.8,fg,0.56
936,0.8,fg2,0.6
936,0.8,eb,0.32
936,0.8,eb2,1
936,0.8,im,0.32
936,0.8,im2,0.32
936,0.8,lp,0.32
936,0.8,lp2,1
936,0.8,sl,0.54
936,0.8,sl2,0.56
935,0.8,wt,0.4
935,0.8,wt2,0.24
935,0.8,l,0.4
935,0.8,l2,0.68
935,0.8,fg,0.36
935,0.8,fg2,0.66
935,0.8,eb,0.24
935,0.8,eb2,0.86
935,0.8,im,0.24
935,0.8,im2,0.24
935,0.8,lp,0.24
935,0.8,lp2,1
935,0.8,sl,0.5
935,0.8,sl2,0.46
934,0.8,wt,0.42
934,0.8,wt2,0.22
934,0.8,l,0.54
934,0.8,l2,0.58
934,0.8,fg,0.38
934,0.8,fg2,0.52
934,0.8,eb,0.22
934,0.8,eb2,0.92
934,0.8,im,0.22
934,0.8,im2,0.22
934,0.8,lp,0.22
934,0.8,lp2,1
934,0.8,sl,0.48
934,0.8,sl2,0.48
933,0.8,wt,0.42
933,0.8,wt2,0.32
933,0.8,l,0.56
933,0.8,l2,0.64
933,0.8,fg,0.52
933,0.8,fg2,0.62
933,0.8,eb,0.32
933,0.8,eb2,0.9
933,0.8,im,0.32
933,0.8,im2,0.32
933,0.8,lp,0.32
933,0.8,lp2,1
933,0.8,sl,0.52
933,0.8,sl2,0.52
932,0.8,wt,0.36
932,0.8,wt2,0.28
932,0.8,l,0.5
932,0.8,l2,0.62
932,0.8,fg,0.36
932,0.8,fg2,0.62
932,0.8,eb,0.28
932,0.8,eb2,0.96
932,0.8,im,0.28
932,0.8,im2,0.28
932,0.8,lp,0.28
932,0.8,lp2,1
932,0.8,sl,0.48
932,0.8,sl2,0.52
931,0.8,wt,0.5
931,0.8,wt2,0.26
931,0.8,l,0.4
931,0.8,l2,0.76
931,0.8,fg,0.4
931,0.8,fg2,0.72
931,0.8,eb,0.26
931,0.8,eb2,0.96
931,0.8,im,0.26
931,0.8,im2,0.26
931,0.8,lp,0.26
931,0.8,lp2,1
931,0.8,sl,0.54
931,0.8,sl2,0.58
930,0.8,wt,0.42
930,0.8,wt2,0.24
930,0.8,l,0.5
930,0.8,l2,0.6
930,0.8,fg,0.44
930,0.8,fg2,0.62
930,0.8,eb,0.24
930,0.8,eb2,0.98
930,0.8,im,0.24
930,0.8,im2,0.24
930,0.8,lp,0.24
930,0.8,lp2,1
930,0.8,sl,0.44
930,0.8,sl2,0.48
929,0.8,wt,0.54
929,0.8,wt2,0.24
929,0.8,l,0.56
929,0.8,l2,0.64
929,0.8,fg,0.54
929,0.8,fg2,0.62
929,0.8,eb,0.24
929,0.8,eb2,0.9
929,0.8,im,0.24
929,0.8,im2,0.24
929,0.8,lp,0.24
929,0.8,lp2,1
929,0.8,sl,0.54
929,0.8,sl2,0.54
928,0.8,wt,0.38
928,0.8,wt2,0.26
928,0.8,l,0.68
928,0.8,l2,0.76
928,0.8,fg,0.44
928,0.8,fg2,0.68
928,0.8,eb,0.26
928,0.8,eb2,1
928,0.8,im,0.26
928,0.8,im2,0.26
928,0.8,lp,0.26
928,0.8,lp2,1
928,0.8,sl,0.5
928,0.8,sl2,0.5
927,0.8,wt,0.46
927,0.8,wt2,0.28
927,0.8,l,0.58
927,0.8,l2,0.66
927,0.8,fg,0.44
927,0.8,fg2,0.64
927,0.8,eb,0.28
927,0.8,eb2,1
927,0.8,im,0.28
927,0.8,im2,0.28
927,0.8,lp,0.28
927,0.8,lp2,1
927,0.8,sl,0.46
927,0.8,sl2,0.58
926,0.8,wt,0.42
926,0.8,wt2,0.32
926,0.8,l,0.48
926,0.8,l2,0.8
926,0.8,fg,0.46
926,0.8,fg2,0.74
926,0.8,eb,0.32
926,0.8,eb2,0.98
926,0.8,im,0.32
926,0.8,im2,0.32
926,0.8,lp,0.32
926,0.8,lp2,1
926,0.8,sl,0.5
926,0.8,sl2,0.5
925,0.8,wt,0.48
925,0.8,wt2,0.28
925,0.8,l,0.54
925,0.8,l2,0.74
925,0.8,fg,0.42
925,0.8,fg2,0.68
925,0.8,eb,0.28
925,0.8,eb2,0.98
925,0.8,im,0.28
925,0.8,im2,0.28
925,0.8,lp,0.28
925,0.8,lp2,1
925,0.8,sl,0.44
925,0.8,sl2,0.44
924,0.8,wt,0.46
924,0.8,wt2,0.26
924,0.8,l,0.4
