run,alpha,method,accuracies
948,1,sl2,0.32
947,1,wt,0.28
947,1,wt2,0.26
947,1,l,0.34
947,1,l2,0.38
947,1,fg,0.28
947,1,fg2,0.38
947,1,eb,0.26
947,1,eb2,0.98
947,1,im,0.26
947,1,im2,0.26
947,1,lp,0.26
947,1,lp2,1
947,1,sl,0.3
947,1,sl2,0.3
946,1,wt,0.32
946,1,wt2,0.32
946,1,l,0.32
946,1,l2,0.42
946,1,fg,0.32
946,1,fg2,0.46
946,1,eb,0.32
946,1,eb2,0.96
946,1,im,0.32
946,1,im2,0.32
946,1,lp,0.32
946,1,lp2,1
946,1,sl,0.32
946,1,sl2,0.32
945,1,wt,0.42
945,1,wt2,0.32
945,1,l,0.32
945,1,l2,0.4
945,1,fg,0.36
945,1,fg2,0.38
945,1,eb,0.32
945,1,eb2,1
945,1,im,0.32
945,1,im2,0.32
945,1,lp,0.32
945,1,lp2,1
945,1,sl,0.38
945,1,sl2,0.38
944,1,wt,0.28
944,1,wt2,0.28
944,1,l,0.32
944,1,l2,0.4
944,1,fg,0.32
944,1,fg2,0.42
944,1,eb,0.28
944,1,eb2,0.98
944,1,im,0.28
944,1,im2,0.28
944,1,lp,0.28
944,1,lp2,1
944,1,sl,0.28
944,1,sl2,0.28
943,1,wt,0.32
943,1,wt2,0.28
943,1,l,0.3
943,1,l2,0.46
943,1,fg,0.36
943,1,fg2,0.42
943,1,eb,0.28
943,1,eb2,0.86
943,1,im,0.28
943,1,im2,0.28
943,1,lp,0.28
943,1,lp2,1
943,1,sl,0.32
943,1,sl2,0.32
942,1,wt,0.34
942,1,wt2,0.26
942,1,l,0.34
942,1,l2,0.38
942,1,fg,0.3
942,1,fg2,0.42
942,1,eb,0.26
942,1,eb2,0.92
942,1,im,0.26
942,1,im2,0.26
942,1,lp,0.26
942,1,lp2,1
942,1,sl,0.32
942,1,sl2,0.32
941,1,wt,0.32
941,1,wt2,0.28
941,1,l,0.34
941,1,l2,0.42
941,1,fg,0.32
941,1,fg2,0.44
941,1,eb,0.28
941,1,eb2,0.84
941,1,im,0.28
941,1,im2,0.28
941,1,lp,0.28
941,1,lp2,1
941,1,sl,0.34
941,1,sl2,0.36
940,1,wt,0.26
940,1,wt2,0.22
940,1,l,0.3
940,1,l2,0.4
940,1,fg,0.26
940,1,fg2,0.32
940,1,eb,0.22
940,1,eb2,0.94
940,1,im,0.22
940,1,im2,0.22
940,1,lp,0.22
940,1,lp2,1
940,1,sl,0.32
940,1,sl2,0.34
939,1,wt,0.34
939,1,wt2,0.34
939,1,l,0.36
939,1,l2,0.44
